真实值,预测值
1.261681,7.1105194
1.200053,6.990465
0.865731,7.0425916
0.99904805,6.6605325
0.8656,5.215405
0.77183104,5.103845
0.654431,5.8315277
0.803658,5.2907214
1.329635,6.424487
0.662895,7.6913486
0.97142005,4.456004
2.242274,5.9484367
5.356366,7.9876223
7.8294883,12.946464
4.704616,14.719318
1.845876,8.184709
1.620547,6.397599
1.193039,8.037538
0.923033,6.67256
0.828521,7.114879
0.807854,6.6577816
0.816983,5.605417
0.79355,4.557789
0.80975497,5.6851516
0.804793,6.4415064
0.806405,6.798569
0.820035,7.1035223
0.806585,8.05978
0.809362,7.766679
0.823191,6.0628915
0.827788,6.887715
0.835057,7.3675222
0.773813,5.8064938
0.63417,5.600985
0.704491,5.413775
0.76946205,6.033473
0.77583003,7.2433376
0.77296704,6.023279
0.92719996,6.380163
0.91284496,7.772656
1.127493,6.486199
1.035321,7.1696897
0.985371,6.6531906
1.006688,6.4675407
0.86630195,6.261197
0.702836,6.3989086
0.75761,6.1912766
0.684812,5.8130937
0.76389503,5.6483607
0.752749,5.666984
0.607542,5.939966
0.76252705,6.390683
0.773239,6.7103925
0.779553,6.7544227
0.78565705,6.858171
0.78721905,6.896617
0.80476403,6.9431787
0.78013,6.3139596
0.769752,6.260386
0.796913,6.4341884
0.832585,5.6960583
0.82242197,6.39076
0.846965,6.249542
0.80509,6.715689
0.818393,9.543844
0.79355603,10.393931
0.780043,8.895972
0.78272504,7.6071973
0.603635,4.916555
0.529406,5.7649612
0.80757105,6.8060026
0.807617,5.613109
0.841637,7.507399
0.83681697,5.9729514
0.828162,5.345078
0.835724,6.6122465
0.83828694,6.7897615
0.84042394,6.535595
0.84865695,7.1399655
0.84302497,6.5985017
0.85348594,7.676656
0.83488697,6.2947974
0.84220105,6.8516026
0.848472,6.8549495
0.86246896,6.0133944
0.87065,6.42296
0.87859297,6.772679
0.880115,6.5683637
0.87613,6.6808577
0.878151,6.7689996
0.885413,6.862043
0.89128697,7.0017304
0.886415,6.5751023
